VERSION = 2.0
UUNITS = MILLIMETERS

#    refdes          !   symbol_x !   symbol_y ! rotation ! mirror ! symbol_name                      ! embedded_layer                  
#-----------------------------------------------------------------------------------------------------------------------
DS1                  !   299.9740 !   102.6516 !        0 !        ! NHD-0216XZ-FSW-GBW               !                                 
S69                  !   213.9696 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S79                  !   263.8958 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE-1P75U        !                                 
S84                  !   251.6835 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE-1P5U         !                                 
S88                  !   367.7107 !    22.2250 !        0 !        ! MX-SERIES-SW-1-POLE-2U-VERT      !                                 
S89                  !   228.2342 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S90                  !   252.9129 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S91                  !   272.6131 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S92                  !   275.7830 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S93                  !   291.2770 !    12.7000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S1                   !    13.9395 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S10                  !   185.1152 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S11                  !    13.9395 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S12                  !    32.9590 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S85                  !   310.6522 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S13                  !    51.9786 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S86                  !   329.6717 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S14                  !    70.9981 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S87                  !   348.6912 !    31.7500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S15                  !    90.0176 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S80                  !   310.6522 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S16                  !   109.0371 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S81                  !   329.6717 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S17                  !   128.0566 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S82                  !   348.6912 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S18                  !   147.0762 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S73                  !   310.6522 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S19                  !   166.0957 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S74                  !   329.6717 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S2                   !    32.9590 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S20                  !   185.1152 !    88.9000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S75                  !   348.6912 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S21                  !    18.6944 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE-1P5U         !                                 
S22                  !    42.4688 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S23                  !    61.4883 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S24                  !    80.5078 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S25                  !    99.5274 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S26                  !   118.5469 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S27                  !   137.5664 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S28                  !   156.5859 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S29                  !   175.6054 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S3                   !    51.9786 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S30                  !   194.6250 !    69.8500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S31                  !    21.0718 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE-1P75U        !                                 
S32                  !    47.2237 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S33                  !    66.2432 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S34                  !    85.2627 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S35                  !   104.2822 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S36                  !   123.3018 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S37                  !   142.3213 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S38                  !   161.3408 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S39                  !   180.3603 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S4                   !    70.9981 !   107.9500 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
S40                  !   199.3798 !    50.8000 !        0 !        ! MX-SERIES-SW-1-POLE              !                                 
